School,2025 School Ranking,2024 School Ranking,2023 School Ranking,Success Rate (%),HSC Students,Total HSC exam entries,High Scores,Type of School
North Sydney Boys High School,1,1,1,71.6,156.0,926.0,663.0,Selective
James Ruse Agricultural High School,2,2,2,70.43,158.0,1001.0,705.0,Selective
Sydney Grammar School,3,3,7,60.99,199.0,1251.0,763.0,Private
North Sydney Girls High School,4,8,4,60.46,155.0,908.0,549.0,Selective
Normanhurst Boys High School,5,4,8,57.73,124.0,750.0,433.0,Selective
Sydney Boys High School,6,9,13,54.19,212.0,1205.0,653.0,Selective
Baulkham Hills High School,7,6,3,51.53,205.0,1209.0,623.0,Selective
Hornsby Girls High School,8,7,14,51.05,122.0,711.0,363.0,Selective
St Aloysius’ College,9,14,6,48.03,162.0,1016.0,488.0,Private
Reddam House,10,5,5,46.99,154.0,830.0,390.0,Private
Abbotsleigh,11,10,10,45.58,184.0,1086.0,495.0,Private
Ascham School,12,23,17,45.43,119.0,634.0,288.0,Private
Sydney Girls High School,13,17,20,44.24,167.0,999.0,442.0,Selective
Ravenswood School for Girls,14,40,34,42.68,138.0,806.0,344.0,Private
Conservatorium High School,15,13,6,42.55,40.0,235.0,100.0,Selective
Presbyterian Ladies’ College – Sydney,16,35,28,42.41,164.0,922.0,391.0,Private
Penrith Selective High School,17,30,35,41.66,158.0,917.0,382.0,Selective
Pymble Ladies’ College,18,21,19,40.63,286.0,1585.0,644.0,Private
Roseville College,19,25,33,40.58,121.0,690.0,280.0,Private
Fort Street High School,20,28,23,40.2,158.0,898.0,361.0,Selective
SCEGGS Darlinghurst,21,16,9,39.02,109.0,656.0,256.0,Private
Merewether High School,22,29,44,38.71,180.0,1041.0,403.0,Selective
Al-Faisal College,23,22,15,38.59,133.0,710.0,274.0,Private
Meriden School,24,11,12,38.11,211.0,1186.0,452.0,Private
Northern Beaches Secondary College Manly Campus,25,15,18,38.01,128.0,784.0,298.0,Selective
Girraween High School,26,32,32,37.83,140.0,801.0,303.0,Selective
SHORE – Sydney Church of England Grammar School,27,26,24,37.59,224.0,1237.0,465.0,Private
Alpha Omega Senior College,28,19,27,36.07,134.0,671.0,242.0,Private
Knox Grammar School,29,18,11,35.97,374.0,2013.0,724.0,Private
